instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,norm_tradingsymbol
2977281,11630,NTPC,NTPC,0.0,,0.0,0.05,1,EQ,NSE,NSE,NTPC
2983425,11654,LALPATHLAB,DR. LAL PATH LABS,0.0,,0.0,0.1,1,EQ,NSE,NSE,LALPATHLAB
2983681,11655,JBMA,JBM AUTO,0.0,,0.0,0.05,1,EQ,NSE,NSE,JBMA
2995969,11703,ALKEM,ALKEM LABORATORIES,0.0,,0.0,0.5,1,EQ,NSE,NSE,ALKEM
3001089,11723,JSWSTEEL,JSW STEEL,0.0,,0.0,0.1,1,EQ,NSE,NSE,JSWSTEEL
3011329,11763,JPPOWER,JAIPRAKASH POWER VEN.,0.0,,0.0,0.01,1,EQ,NSE,NSE,JPPOWER
3023105,11809,IIFL,IIFL FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,IIFL
3026177,11821,WELCORP,WELSPUN CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE,WELCORP
3031041,11840,NH,NARAYANA HRUDAYALAYA,0.0,,0.0,0.1,1,EQ,NSE,NSE,NH
3039233,11872,GRANULES,GRANULES INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,GRANULES
3050241,11915,YESBANK,YES BANK,0.0,,0.0,0.01,1,EQ,NSE,NSE,YESBANK
3060737,11956,MEDANTA,GLOBAL HEALTH,0.0,,0.0,0.1,1,EQ,NSE,NSE,MEDANTA
3063297,11966,BIKAJI,BIKAJI FOODS INTERN,0.0,,0.0,0.05,1,EQ,NSE,NSE,BIKAJI
3076609,12018,SUZLON,SUZLON ENERGY,0.0,,0.0,0.01,1,EQ,NSE,NSE,SUZLON
3080193,12032,FIVESTAR,FIVE-STAR BUS FIN,0.0,,0.0,0.05,1,EQ,NSE,NSE,FIVESTAR
3095553,12092,KAYNES,KAYNES TECHNOLOGY IND,0.0,,0.0,0.5,1,EQ,NSE,NSE,KAYNES
3343617,13061,360ONE,360 ONE WAM,0.0,,0.0,0.1,1,EQ,NSE,NSE,360ONE
3348737,13081,TRIVENI,TRIVENI ENGG. & INDS.,0.0,,0.0,0.05,1,EQ,NSE,NSE,TRIVENI
3350017,13086,AIAENG,AIA ENGINEERING,0.0,,0.0,0.1,1,EQ,NSE,NSE,AIAENG
3365633,13147,PVRINOX,PVR INOX,0.0,,0.0,0.1,1,EQ,NSE,NSE,PVRINOX
3378433,13197,GSPL,GUJARAT STATE PETRO,0.0,,0.0,0.05,1,EQ,NSE,NSE,GSPL
3394561,13260,KEC,KEC INTL.,0.0,,0.0,0.05,1,EQ,NSE,NSE,KEC
3397121,13270,JKCEMENT,JK CEMENT,0.0,,0.0,0.5,1,EQ,NSE,NSE,JKCEMENT
3400961,13285,M&MFIN,M&M FIN. SERVICES,0.0,,0.0,0.05,1,EQ,NSE,NSE,MMFIN
3406081,13305,CENTURYPLY,CENTURY PLYBOARDS (I),0.0,,0.0,0.05,1,EQ,NSE,NSE,CENTURYPLY
3407361,13310,KEI,KEI INDUSTRIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,KEI
3412993,13332,SOLARINDS,SOLAR INDUSTRIES (I),0.0,,0.0,1.0,1,EQ,NSE,NSE,SOLARINDS
3419905,13359,KFINTECH,KFIN TECHNOLOGIES,0.0,,0.0,0.1,1,EQ,NSE,NSE,KFINTECH
3431425,13404,SUNTV,SUN TV NETWORK,0.0,,0.0,0.05,1,EQ,NSE,NSE,SUNTV
3432705,13409,GPIL,GODAWARI POW & ISP,0.0,,0.0,0.05,1,EQ,NSE,NSE,GPIL
3460353,13517,EMAMILTD,EMAMI,0.0,,0.0,0.05,1,EQ,NSE,NSE,EMAMILTD
3463169,13528,GMRAIRPORT,GMR AIRPORTS,0.0,,0.0,0.01,1,EQ,NSE,NSE,GMRAIRPORT
3465729,13538,TECHM,TECH MAHINDRA,0.0,,0.0,0.1,1,EQ,NSE,NSE,TECHM
3478273,13587,ACE,ACTION CONST EQUIP,0.0,,0.0,0.1,1,EQ,NSE,NSE,ACE
3484417,13611,IRCTC,INDIAN RAIL TOUR CORP,0.0,,0.0,0.05,1,EQ,NSE,NSE,IRCTC
3486721,13620,ANANTRAJ,ANANT RAJ,0.0,,0.0,0.05,1,EQ,NSE,NSE,ANANTRAJ
3491073,13637,JMFINANCIL,JM FINANCIAL,0.0,,0.0,0.01,1,EQ,NSE,NSE,JMFINANCIL
3492609,13643,ELECON,ELECON ENG. CO.,0.0,,0.0,0.05,1,EQ,NSE,NSE,ELECON
3520001,13750,FLUOROCHEM,GUJARAT FLUOROCHEM,0.0,,0.0,0.1,1,EQ,NSE,NSE,FLUOROCHEM
3520257,13751,NAUKRI,INFO EDGE (I),0.0,,0.0,0.1,1,EQ,NSE,NSE,NAUKRI
3526657,13776,GESHIP,THE GE SHPG.LTD,0.0,,0.0,0.1,1,EQ,NSE,NSE,GESHIP
3529217,13786,TORNTPOWER,TORRENT POWER,0.0,,0.0,0.1,1,EQ,NSE,NSE,TORNTPOWER
3536897,13816,LTFOODS,LT FOODS,0.0,,0.0,0.05,1,EQ,NSE,NSE,LTFOODS
3539457,13826,SOBHA,SOBHA,0.0,,0.0,0.1,1,EQ,NSE,NSE,SOBHA
3575297,13966,HBLENGINE,HBL ENGINEERING,0.0,,0.0,0.1,1,EQ,NSE,NSE,HBLENGINE
